shop_name,shop_business,shop_website,telephone_number,street_address,state,postal_code,star_rating,last_updated_at_UTC
Viet Cafe,Cafes and Coffee Shops,,0207839 3246,"23 Haymarket,",London,SW1Y 4DG,,10-Dec-2021 19:14:10
Eat Ltd,Cafes and Coffee Shops,http://www.eat.co.uk,0843 506 4040,"41-42 Bedford St,",London,WC2E 9HA,,10-Dec-2021 19:14:10
Costa,Cafes and Coffee Shops,http://www.costa.co.uk,,"39A Coventry Street, Chinatown,",LONDON,W1D 6BZ,,10-Dec-2021 19:14:10
Soho Coffee Co,Cafes and Coffee Shops,https://sohocoffee.com/?utm_source=ExtNet&utm_medium=Yext,020 3358 6779,"41-42 Bedford St,",London,WC2E 9HA,,10-Dec-2021 19:14:10
Arabica,Cafes and Coffee Shops,http://www.arabica.coffee,020 7379 9621,"5 King Street,",London,WC2E 8SD,,10-Dec-2021 19:14:10
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7240 3433,"29 Southampton St,",London,WC2E 7JA,,10-Dec-2021 19:14:10
Coffee & Bake Ltd,Cafes and Coffee Shops,http://www.coffeeandbake.co.uk,020 7839 5129,"49 Villiers St,",London,WC2N 6NE,,10-Dec-2021 19:14:10
Coffee Island,Cafes and Coffee Shops,http://www.coffeeisland.co.uk,020 7836 3007,"4b Upper St Martin's Lane,",London,WC2H 9NY,,10-Dec-2021 19:14:10
Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/62-65-trafalgar-square,020 7932 5350,"62-65 Trafalgar Square,",London,WC2N 5DS,,10-Dec-2021 19:14:10
Avobar,Cafes and Coffee Shops,http://www.avobar.co.uk,020 3701 6500,"23-24 Henrietta Street, Covent Garden,",LONDON,WC2E 8NA,,10-Dec-2021 19:14:10
Pompidou,Cafes and Coffee Shops,,020 7839 6010,"35-37 Villiers St,",London,WC2N 6ND,,10-Dec-2021 19:14:10
Soho Coffee Company,Cafes and Coffee Shops,http://www.sohocoffee.co.uk,020 3358 6779,"41 Bedford Street, Covent Garden,",LONDON,WC2E 9HA,,10-Dec-2021 19:14:10
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7930 8483,"Unit 1, 65-72, The Strand,",London,WC2N 5LR,,10-Dec-2021 19:14:10
Blues & Royals,Cafes and Coffee Shops,,,"Villiers Street, Charing Cross,",LONDON,WC2N 6NE,,10-Dec-2021 19:14:10
Madd Hatters,Cafes and Coffee Shops,http://www.lovemaddhatters.co.uk,020 7836 8463,"6-7 Great Newport Street, Chinatown,",LONDON,WC2H 7JB,,10-Dec-2021 19:14:10
New Row Coffee,Cafes and Coffee Shops,http://www.newrowcoffee.co.uk,020 3583 6949,"24 New Row,",London,WC2N 4LA,,10-Dec-2021 19:14:10
Smile Cafe,Cafes and Coffee Shops,,0141 332 1822,"4-8 Newport Place,",Glasgow,G2 4HF,,10-Dec-2021 19:14:10
Yunique,Cafes and Coffee Shops,https://linktr.ee/yuniquetealondon,020 7287 6383,"10 Little Newport Street,",London,WC2H 7JJ,,10-Dec-2021 19:14:10
Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/39-coventry-street,020 3272 0090,"39 Coventry St,",London,W1D 6BZ,,10-Dec-2021 19:14:10
Cafe Eterno,Cafes and Coffee Shops,http://www.lcm.org.uk,020 7240 1599,"34, Neal St, Covent Garden,",London,WC2H 9PS,5.0 out of 5 stars from 1 rating,10-Dec-2021 19:14:10
Hotel Chocolat Cafe,Cafes and Coffee Shops,https://www.hotelchocolat.com/,020 7836 3349,"Covent Garden,",London,WC2E 8RB,,10-Dec-2021 19:14:10
Milk Bar,Cafes and Coffee Shops,http://www.milkbarsoho.co.uk,020 7287 4796,"3 Bateman St,",London,W1D 4AG,4.0 out of 5 stars from 6 ratings,10-Dec-2021 19:14:10
Costa Coffee,Cafes and Coffee Shops,http://www.costa.co.uk,020 7240 2135,"37 Southampton St,",London,WC2E 7HG,,10-Dec-2021 19:14:10
The Borough Barista Ltd,Cafes and Coffee Shops,http://www.theboroughbarista.com,020 3272 0222,"15 Charles Ii St,",London,SW1Y 4QU,,10-Dec-2021 19:14:10
Caffe Vergnano 1882,Cafes and Coffee Shops,http://www.caffevergnano1882.co.uk,020 7240 3512,"62 Charing Cross Rd,",London,WC2H 0BU,,10-Dec-2021 19:14:10
Charles Dickens' Coffee House,Cafes and Coffee Shops,http://www.britainallover.com,020 7379 7727,"26 Wellington St,",London,WC2E 7DD,5.0 out of 5 stars from 1 rating,10-Dec-2021 19:14:10
The Arts Cafe,Cafes and Coffee Shops,http://www.artstheatrewestend.co.uk,020 7836 8463,"6-7 Great Newport Street, Chinatown,",LONDON,WC2H 7JB,,10-Dec-2021 19:14:10
The Meat Market,Cafes and Coffee Shops,,0207240 4852,"Unit 1a The Deck Jubilee Market Hall, The Piazza,",London,WC2E 8BE,,10-Dec-2021 19:14:10
Department of Coffee & Social Affairs,Cafes and Coffee Shops,http://departmentofcoffee.com,,"6-7 Great Newport Street, Chinatown,",LONDON,WC2H 7JB,,10-Dec-2021 19:14:10
Costa,Cafes and Coffee Shops,http://www.costa.co.uk,020 7240 2135,"37 Southampton Street, Covent Garden,",LONDON,WC2E 7HG,,10-Dec-2021 19:14:10
Candy Cafe,Cafes and Coffee Shops,http://www.candycafe.co.uk,020 7439 8507,"3 Macclesfield St,",London,W1D 6AU,,10-Dec-2021 19:14:10
Ole & Steen,Cafes and Coffee Shops,https://oleandsteen.co.uk,020 3828 8242,"St James 56 Haymarket, No 2 St James Market,",London,SW1Y 4RP,,10-Dec-2021 19:14:10
Cafe El Buen Gusto,Cafes and Coffee Shops,,020 7159 4440,"39 Frith Street,",London,W1D 5LL,,10-Dec-2021 19:14:10
Department of Coffee & Social Affairs,Cafes and Coffee Shops,http://departmentofcoffee.com,,"19 Slingsby Place, Covent Garden,",LONDON,WC2E 9AB,3.0 out of 5 stars from 2 ratings,10-Dec-2021 19:14:10
Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/retail-unit-2,020 7932 5309,"Retail Unit 2 2 Regent St,",London,SW1Y 4PE,,10-Dec-2021 19:14:10
Prima Sapori Italia,Cafes and Coffee Shops,http://primacoventgarden.com,020 7836 5448,"1 Tavistock St Jubilee Market, The Piazza,",London,WC2E 8BE,,10-Dec-2021 19:14:10
Cafe De Nata,Cafes and Coffee Shops,http://www.cafedenata.com,020 7734 1279,"25 Old Compton St,",London,W1D 5JN,,10-Dec-2021 19:14:10
Cafe Chutney,Cafes and Coffee Shops,http://www.cafechutney.co.uk,07956 910444,"34 The Market, The Piazza,",London,WC2E 8RE,,10-Dec-2021 19:14:10
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7240 8918,"30 Monmouth St,",London,WC2H 9HA,,10-Dec-2021 19:14:10
"The Coffee Tree London Ltd,",Tea and Coffee Specialist Shops,http://www.coffeetreegroup.co.uk,020 7240 5536,"222 Shaftesbury Avenue,",London,WC2H 8EB,,10-Dec-2021 19:14:10
Simit Sarayi,Cafes and Coffee Shops,https://www.simitsarayi.com,020 7734 4302,"The London Pavilion, 1, Piccadilly,",London,W1J 0DA,,10-Dec-2021 19:14:10
Fabrique,Cafes and Coffee Shops,http://fabrique.co.uk/,020 7240 1392,"8 Earlham St,",London,WC2H 9RY,,10-Dec-2021 19:14:10
Coco,Cafes and Coffee Shops,http://www.coco-tea.com,020 7831 3945,"52 Dean Street, Chinatown,",LONDON,W1D 5BL,,10-Dec-2021 19:14:10
Flocafe,Cafes and Coffee Shops,http://www.flocafe.gr,020 7734 3559,"83 Shaftesbury Avenue,",London,W1D 5DX,,10-Dec-2021 19:14:10
Creme De La Crepe,Cafes and Coffee Shops,http://www.cremedelacrepe.co.uk,020 7836 6896,"Unit 29 The Market The Piazza,",London,WC2E 8RE,,10-Dec-2021 19:14:10
Z Cafe,Cafes and Coffee Shops,http://thezhotels.com,020 3551 3701,"14 Moor St,",London,W1D 5AP,,10-Dec-2021 19:14:10
Fernandez & Wells,Cafes and Coffee Shops,http://www.fernandezandwells.com,020 7287 8124,"73 Beak St,",London,W1F 9SR,4.7 out of 5 stars from 9 ratings,10-Dec-2021 19:14:10
Starbucks Coffee Co (UK) Ltd,Cafes and Coffee Shops,http://www.starbucks.co.uk,020 7836 6231,"10 Russell St,",London,WC2B 5HZ,,10-Dec-2021 19:14:10
Benugo Cafe,Cafes and Coffee Shops,http://www.benugo.com,020 7836 9773,"63 Long Acre,",London,WC2E 9JN,,10-Dec-2021 19:14:10
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7287 0971,"97-99 Charing Cross Rd,",London,WC2H 0DP,,10-Dec-2021 19:14:10
Notes,Cafes and Coffee Shops,http://www.notes-uk.squarespace.com/,020 7240 7899,"36 Wellington Street, Covent Garden,",LONDON,WC2E 7BD,,10-Dec-2021 19:14:10
Costa Coffee,Cafes and Coffee Shops,http://www.costa.co.uk,020 7930 9596,"15 Westminster,",London,SW1Y 4LR,,10-Dec-2021 19:14:10
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7836 6346,"2 Lancaster Place,",London,WC2E 7EA,,10-Dec-2021 19:14:10
Ocraquelin Patisserie,Cafes and Coffee Shops,,07401 983475,"42 Tavistock Street,",London,WC2E 7PB,,10-Dec-2021 19:14:10
Yi Fang,Cafes and Coffee Shops,http://www.yifangtea.co.uk,020 7078 4214,"13 Moor Street,",London,W1D 5NH,,10-Dec-2021 19:14:10
Gelatorino Ltd,Cafes and Coffee Shops,http://www.gelatorino.com,020 7240 0746,"2 Russell St,",London,WC2B 5JD,,10-Dec-2021 19:14:10
